ACI,AutoDESK,Berechnet,Ermittelt,Color Name,RGB
1,"1.0000,0.0000,0.0000","255,0,0","255,0,0",red,"rgb(255, 0, 0)"
2,"1.0000,1.0000,0.0000","255,255,0","255,255,0",yellow,"rgb(255, 255, 0)"
3,"0.0000,1.0000,0.0000","0,255,0","0,255,0",green,"rgb(0, 255, 0)"
4,"0.0000,1.0000,1.0000","0,255,255","0,255,255",cyan,"rgb(0, 255, 255)"
5,"0.0000,0.0000,1.0000","0,0,255","0,0,255",blue,"rgb(0, 0, 255)"
6,"1.0000,0.0000,1.0000","255,0,255","255,0,255",magenta,"rgb(255, 0, 255)"
7,"1.0000,1.0000,1.0000","255,255,255","255,255,255",white,"rgb(255, 255, 255)"
8,"0.5020,0.5020,0.5020","128,128,128","132,130,132",deep-red,"rgb(128, 128, 128)"
9,"0.7530,0.7530,0.7530","192,192,192","198,195,198",dark-red,"rgb(192, 192, 192)"
10,"1.0000,0.0000,0.0000","255,0,0","255,0,0",red,"rgb(255, 0, 0)"
11,"1.0000,0.5000,0.5000","255,127,127","255,125,123",brilliant-clear-red,"rgb(255, 127, 127)"
12,"0.6500,0.0000,0.0000","165,0,0","206,0,0",bright-intense-red,"rgb(165, 0, 0)"
13,"0.6500,0.3250,0.3250","165,82,82","206,101,99",bright-clear-red,"rgb(165, 82, 82)"
14,"0.5000,0.0000,0.0000","127,0,0","156,0,0",moderate-intense-red,"rgb(127, 0, 0)"
15,"0.5000,0.2500,0.2500","127,63,63","156,77,74",moderate-clear-red,"rgb(127, 63, 63)"
16,"0.3000,0.0000,0.0000","76,0,0","123,0,0",medium-intense-red,"rgb(76, 0, 0)"
17,"0.3000,0.1500,0.1500","76,38,38","123,60,57",medium-clear-red,"rgb(76, 38, 38)"
18,"0.1500,0.0000,0.0000","38,0,0","74,0,0",deep-red,"rgb(38, 0, 0)"
19,"0.1500,0.0750,0.0750","38,19,19","74,36,33",dark-red,"rgb(38, 19, 19)"
20,"1.0000,0.2500,0.0000","255,63,0","255,60,00",brilliant-vermilion,"rgb(255, 63, 0)"
21,"1.0000,0.6250,0.5000","255,159,127","255,158,123",brilliant-clear-vermilion,"rgb(255, 159, 127)"
22,"0.6500,0.1625,0.0000","165,41,0","206,48,0",bright-intense-vermilion,"rgb(165, 41, 0)"
23,"0.6500,0.4063,0.3250","165,103,82","206,125,99",bright-clear-vermilion,"rgb(165, 103, 82)"
24,"0.5000,0.1250,0.0000","127,31,0","156,36,0",moderate-intense-vermilion,"rgb(127, 31, 0)"
25,"0.5000,0.3125,0.2500","127,79,63","156,93,74",moderate-clear-vermilion,"rgb(127, 79, 63)"
26,"0.3000,0.0750,0.0000","76,19,0","123,28,0",medium-intense-vermilion,"rgb(76, 19, 0)"
27,"0.3000,0.1875,0.1500","76,47,38","123,77,57",medium-clear-vermilion,"rgb(76, 47, 38)"
28,"0.1500,0.0375,0.0000","38,9,0","74,16,0",deep-vermilion,"rgb(38, 9, 0)"
29,"0.1500,0.0938,0.0750","38,23,19","74,44,33",dark-vermilion,"rgb(38, 23, 19)"
30,"1.0000,0.5000,0.0000","255,127,0","255,125,0",brilliant-orange,"rgb(255, 127, 0)"
31,"1.0000,0.7500,0.5000","255,191,127","255,190,123",brilliant-clear-orange,"rgb(255, 191, 127)"
32,"0.6500,0.3250,0.0000","165,82,0","206,101,0",bright-intense-orange,"rgb(165, 82, 0)"
33,"0.6500,0.4875,0.3250","165,124,82","206,154,99",bright-clear-orange,"rgb(165, 124, 82)"
34,"0.5000,0.2500,0.0000","127,63,0","156,77,0",moderate-intense-orange,"rgb(127, 63, 0)"
35,"0.5000,0.3750,0.2500","127,95,63","156,113,74",moderate-clear-orange,"rgb(127, 95, 63)"
36,"0.3000,0.1500,0.0000","76,38,0","123,60,0",medium-intense-orange,"rgb(76, 38, 0)"
37,"0.3000,0.2250,0.1500","76,57,38","123,93,57",medium-clear-orange,"rgb(76, 57, 38)"
38,"0.1500,0.0750,0.0000","38,19,0","74,36,0",deep-orange,"rgb(38, 19, 0)"
39,"0.1500,0.1125,0.0750","38,28,19","74,56,33",dark-orange,"rgb(38, 28, 19)"
40,"1.0000,0.7500,0.0000","255,191,0","255,190,0",brilliant-amber,"rgb(255, 191, 0)"
41,"1.0000,0.8750,0.5000","255,223,127","255,223,123",brilliant-clear-amber,"rgb(255, 223, 127)"
42,"0.6500,0.4875,0.0000","165,124,0","206,154,0",bright-intense-amber,"rgb(165, 124, 0)"
43,"0.6500,0.5688,0.3250","165,145,82","206,178,99",bright-clear-amber,"rgb(165, 145, 82)"
44,"0.5000,0.3750,0.0000","127,95,0","156,113,0",moderate-intense-amber,"rgb(127, 95, 0)"
45,"0.5000,0.4375,0.2500","127,111,63","156,134,74",moderate-clear-amber,"rgb(127, 111, 63)"
46,"0.3000,0.2250,0.0000","76,57,0","123,93,0",medium-intense-amber,"rgb(76, 57, 0)"
47,"0.3000,0.2625,0.1500","76,66,38","123,109,57",medium-clear-amber,"rgb(76, 66, 38)"
48,"0.1500,0.1125,0.0000","38,28,0","74,56,0",deep-amber,"rgb(38, 28, 0)"
49,"0.1500,0.1313,0.0750","38,33,19","74,65,33",dark-amber,"rgb(38, 33, 19)"
50,"1.0000,1.0000,0.0000","255,255,0","255,255,0",yellow,"rgb(255, 255, 0)"
